"pais_r";"Facebook_num";"Internet_por_num";"poblacion_num";"anyo"
"Algeria";928100;12,5;35977455;2010
"Argentina";10542040;45;40788453;2010
"Australia";9009660;76;22031750;2010
"Austria";2084840;75,17;8363404;2010
"Bahamas, The";139460;43;354942;2010
"Bahrain";226480;55;1240860;2010
"Bangladesh";854520;3,7;147575430;2010
"Belgium";3505920;75;10895586;2010
"Brazil";4757200;40,65;195713635;2010
"Canada";15497900;80,3;34004889;2010
"Chile";6944540;45;17062536;2010
"China";119480;34,3;1337705000;2010
"Colombia";10226820;36,5;45222700;2010
"Croatia";1192160;56,55;4295427;2010
"Denmark";2527000;88,72;5547683;2010
"Egypt, Arab Rep.";3581460;21,6;82761235;2010
"Estonia";227420;74,1;1331475;2010
"Ethiopia";130320;0,75;87639964;2010
"Finland";1793300;86,89;5363352;2010
"France";18942220;77,28;65027507;2010
"Germany";9949760;82;81776930;2010
"Greece";2838700;44,4;11121341;2010
"Hong Kong SAR, China";3408240;72;7024200;2010
"Hungary";1455840;65;10000023;2010
"Iceland";265420;93,39;318041;2010
"India";10547240;7,5;1234281170;2010
"Indonesia";25912960;10,92;241834215;2010
"Iraq";225600;2,5;29741976;2010
"Ireland";1597000;69,85;4560155;2010
"Israel";3006460;67,5;7623600;2010
"Italy";16647260;53,68;59277417;2010
"Japan";1192220;78,21;128070000;2010
"Jordan";923400;27,2;7261539;2010
"Kuwait";518540;61,4;2991884;2010
"Lebanon";962440;43,68;4953061;2010
"Libya";156240;14;6197663;2010
"Malaysia";7317520;56,3;28208035;2010
"Malta";163660;63;414508;2010
"Mauritania";29600;4;3494195;2010
"Mauritius";203700;28,33;1250400;2010
"Mexico";12978440;31,05;114092963;2010
"Morocco";1849740;52;32343389;2010
"Netherlands";2644640;90,72;16615394;2010
"Nigeria";1616120;11,5;158503197;2010
"Norway";2291720;93,39;4889252;2010
"Oman";157440;35,8278;3041434;2010
"Pakistan";3119440;8;179424641;2010
"Philippines";14600300;25;93966780;2010
"Poland";2772540;62,32;38042794;2010
"Portugal";2494540;53,3;10573100;2010
"Qatar";396860;69;1856327;2010
"Romania";1555360;39,93;20246871;2010
"Russian Federation";1244280;43;142849449;2010
"Rwanda";44340;8;10039338;2010
"Saudi Arabia";2267060;41;27421461;2010
"Serbia";2064220;40,9;7291436;2010
"Singapore";2226580;71;5076732;2010
"Slovak Republic";1481000;75,71;5391428;2010
"Slovenia";582000;70;2048583;2010
"South Africa";2884080;24;51216964;2010
"Korea, Rep.";2473540;83,7;49554112;2010
"Spain";10610080;65,8;46576897;2010
"Sri Lanka";587980;12;20261737;2010
"Sweden";3798020;90;9378126;2010
"Switzerland";2234380;83,9;7824909;2010
"Taiwan";6745160;NA;23140948;2010
"Thailand";4216760;22,4;67195028;2010
"Tunisia";1594700;36,8;10635244;2010
"Turkey";22552540;39,82;72326988;2010
"Uganda";168720;12,5;32428167;2010
"Ukraine";425680;23,3;45870700;2010
"United Arab Emirates";1596160;68;8549988;2010
"United Kingdom";26543600;85;62766365;2010
"United States";125881220;71,69;309326085;2010
"Uzbekistan";26840;15,9;28562400;2010
"Venezuela, RB";6686300;37,37;28439940;2010
"Vietnam";1019120;30,65;87967651;2010
"Yemen, Rep.";96700;12,35;23154855;2010
"Algeria";19000000;59,57968476;42228429;2018
"Argentina";30000000;78;44494502;2018
"Australia";15000000;88;24992369;2018
"Austria";3700000;87,71046495;8847037;2018
"Bahamas, The";220000;83,4;385640;2018
"Bahrain";1100000;98,64342901;1569439;2018
"Bangladesh";28000000;57,2;161356039;2018
"Belgium";6500000;88,65506428;11422068;2018
"Brazil";139000000;66;209469333;2018
"Canada";23000000;90;37058856;2018
"Chile";13000000;77,5;18729160;2018
"China";1800000;53;1392730000;2018
"Colombia";29000000;63,2;49648685;2018
"Croatia";1800000;72,68877088;4089400;2018
"Denmark";3700000;97,64426813;5797446;2018
"Egypt, Arab Rep.";35000000;46,92433809;98423595;2018
"Estonia";620000;89,35700777;1320884;2018
"Ethiopia";4500000;18,6;109224559;2018
"Finland";2700000;88,88996;5518050;2018
"France";33000000;82,04353422;66987244;2018
"Germany";31000000;89,73912104;82927922;2018
"Greece";5000000;72,9520942;10727668;2018
"Hong Kong SAR, China";5200000;87;7451000;2018
"Hungary";5300000;76,07436064;9768785;2018
"Iceland";250000;99,01095399;353574;2018
"India";300000000;34;1352617328;2018
"Indonesia";130000000;39,78748305;267663435;2018
"Iraq";17000000;49,4;38433600;2018
"Ireland";2700000;84,52230206;4853506;2018
"Israel";5800000;81,6;8883800;2018
"Italy";30000000;74,38718292;60431283;2018
"Japan";71000000;93;126529100;2018
"Jordan";5300000;86,4;9956011;2018
"Kuwait";3100000;99,59999254;4137309;2018
"Lebanon";3600000;91,4;6848925;2018
"Libya";3500000;57,8;6678567;2018
"Malaysia";22000000;81,20170665;31528585;2018
"Malta";320000;81,40313252;483530;2018
"Mauritania";770000;20,8;4403319;2018
"Mauritius";700000;58,5961697;1265303;2018
"Mexico";78000000;65,77263448;126190788;2018
"Morocco";15000000;64,80386519;36029138;2018
"Netherlands";9800000;94,71207372;17231017;2018
"Nigeria";17000000;49;195874740;2018
"Norway";3400000;96,49165799;5314336;2018
"Oman";2630000;80,2;4829483;2018
"Pakistan";32000000;35;212215030;2018
"Philippines";62000000;63;106651922;2018
"Poland";14000000;77,54173454;37978548;2018
"Portugal";5800000;74,66096828;10281762;2018
"Qatar";2300000;99,65284913;2781677;2018
"Romania";8900000;70,68127793;19473936;2018
"Russian Federation";13100000;80,86472186;144478050;2018
"Rwanda";490000;46,8;12301939;2018
"Saudi Arabia";18000000;93,31000185;33699947;2018
"Serbia";3400000;73,36070915;6982084;2018
"Singapore";4300000;88,16563603;5638676;2018
"Slovak Republic";3200000;80,66033556;5447011;2018
"Slovenia";910000;79,7499766;2067372;2018
"South Africa";16000000;54;57779622;2018
"Korea, Rep.";43000000;95,8982922;51635256;2018
"Spain";23000000;86,10723553;46723749;2018
"Sri Lanka";5500000;34,1;21670000;2018
"Sweden";6300000;92,14167705;10183175;2018
"Switzerland";3700000;93,7;8516543;2018
"Taiwan";18000000;88;23580080;2018
"Thailand";46000000;56,81748093;69428524;2018
"Tunisia";6400000;64,19081023;11565204;2018
"Turkey";44000000;71,04276107;82319724;2018
"Uganda";2600000;40,5;42723139;2018
"Ukraine";9500000;93,4;44622516;2018
"United Arab Emirates";8700000;98,45000178;9630959;2018
"United Kingdom";44000000;94,89674176;66488991;2018
"United States";240000000;88;327167434;2018
"Uzbekistan";800000;52,3;32955400;2018
"Venezuela, RB";13000000;53,1;28870195;2018
"Vietnam";50000000;70,34963558;95540395;2018
"Yemen, Rep.";2352942;26,7;28498687;2018
